No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
1,Private Call,Parrot,,,,9990,
2,Private Call,Disconnect,,,,4000,
3,Group Call,Mi5-EVENT4,,,,56,
4,Group Call,Mi5-EVENT3,,,,55,
5,Group Call,Mi5-EVENT2,,,,54,
6,Group Call,Mi5-EVENT1,,,,53,
7,Group Call,Mi5-STATEW1,,,,51,
8,Group Call,Mi5-STATEW2,,,,52,
9,Group Call,Eastern-MI-Link,,,,99846,
10,Group Call,Michigan Nets,,,,31266,
11,Group Call,Fireside Net,,,,326,
12,Group Call,Tac-101,,,,101,
13,Group Call,Boredom Net,,,,49562,
14,Group Call,Scanner Junkies,,,,1033,
15,Group Call,MIRATS,,,,5304,
16,Group Call,DMR Tech Net,,,,31268,
17,Group Call,Saginaw 48603,,,,48603,
18,Group Call,The Mothership,,,,31665,
19,Group Call,BM_North America,,,,93,
20,Group Call,BM_MI-1 DMR Net,,,,3126,
21,Group Call,BM_ECR,,,,3129973,
22,Group Call,BM_Mi5SW1,,,,31261,
23,Group Call,BM_Mi5SW2,,,,31262,
24,Group Call,Private_TG,,,,99,
25,Group Call,BM_WW,,,,91,
26,Group Call,BM_USNationWide,,,,3100,
