Zone Name,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8,Channel9,Channel10,Channel11,Channel12,Channel13,Channel14,Channel15,Channel16,Channel17,Channel18,Channel19,Channel20,Channel21,Channel22,Channel23,Channel24,Channel25,Channel26,Channel27,Channel28,Channel29,Channel30,Channel31,Channel32,Channel33,Channel34,Channel35,Channel36,Channel37,Channel38,Channel39,Channel40,Channel41,Channel42,Channel43,Channel44,Channel45,Channel46,Channel47,Channel48,Channel49,Channel50,Channel51,Channel52,Channel53,Channel54,Channel55,Channel56,Channel57,Channel58,Channel59,Channel60,Channel61,Channel62,Channel63,Channel64,Channel65,Channel66,Channel67,Channel68,Channel69,Channel70,Channel71,Channel72,Channel73,Channel74,Channel75,Channel76,Channel77,Channel78,Channel79,Channel80
Saginaw,GMRS24,James Twp,K8DAC,K8DAC-Fusion,James TWP,N8ERL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midland,Midland,Midland Soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay City,Bay City,Bay Cty,Bay County,GMRS26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesee,Flint,GMRS30,KC8KGZ1,W8ACW1,W8ACW2,W8CMN-Flint1,KC8KGZ2,W8TRU,W8CMN-Flint2,N8UMW,W8JDE,KB5TOJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traverse City,Traverse City,Munson 70cm,Munson 2m,W8TCM,W8IRA,W8ACM2,W8ACM7,GMRS25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausable,N8RSH-Lupton,WB8ZIR-Barton Ci,Lincoln,W8DMI-Rose City,W8SZ-Harrisville,N9KOP-Mio,K8DDX-Mio,N9KOP-Mio2,Mio,KD8NCN-W. Branch,K8OAR-W. Branch,W8COP-Sterling,FRS22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit,K8UTT,WR8DAR1,WR8DAR2,WR8DAR3,WR8DAR4,W8DET,K8PLW,KC8LTS,WW8GM1,WW8GM2,GMRS25,GMRS26,Detroit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ann Arbor,W8UM1,W8UM2,WR8DAR,W8PGW,K8PDJ,N8LBV,N8DUY,W8FSA,W8SRC,Novi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansing,W8BCI1,KB8LCY,KD8PA,KD8IFI1,KD8IFI2,W8BCI-Lansing,W8MSU,W8BCI3,N9UV,N8JI,GMRS23,Lansing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRS,APRS_NA,APRS_Saginaw,APRS_Simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMR,AllStar,AllStar1,Pi-star,Pi-star1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
